Date,Close,50-day MA,200-day MA,Golden Cross,,,,,,,,,,,,
4/10/2024,514.12,508.6394,463.91655,0,,,,,,,,,,,,
4/11/2024,518,509.1816,464.34935,0,,,,,,,,,,,,
4/12/2024,510.85,509.741,464.72275,0,,,,,,,,,,,,
4/15/2024,504.45,510.046,465.06305,0,,,,,,,,,,,,
4/16/2024,503.53,510.2296,465.39015,0,,,,,,,,,,,,
4/17/2024,500.55,510.3896,465.6765,0,,,,,,,,,,,,
4/18/2024,499.52,510.5004,465.95515,0,,,,,,,,,,,,
4/19/2024,495.16,510.4416,466.2153,0,,,,,,,,,,,,
4/22/2024,499.72,510.4696,466.5156,0,,,,,,,,,,,,
4/23/2024,505.65,510.5586,466.8511,0,,,,,,,,,,,,
4/24/2024,505.41,510.6472,467.17985,0,,,,,,,,,,,,
4/25/2024,503.49,510.8354,467.485,0,,,,,,,,,,,,
4/26/2024,508.26,511.0292,467.7962,0,,,,,,,,,,,,
4/29/2024,510.06,511.1902,468.0987,0,,,,,,,,,,,,
4/30/2024,501.98,511.2396,468.3622,0,,,,,,,,,,,,
5/1/2024,500.35,511.3114,468.60975,0,,,,,,,,,,,,
5/2/2024,505.03,511.4678,468.86395,0,,,,,,,,,,,,
5/3/2024,511.29,511.5436,469.1444,0,,,,,,,,,,,,
5/6/2024,516.57,511.718,469.46635,0,,,,,,,,,,,,
5/7/2024,517.14,511.941,469.79115,0,,,,,,,,,,,,
5/8/2024,517.19,512.1462,470.1061,0,,,,,,,,,,,,
5/9/2024,520.17,512.4244,470.42975,0,,,,,,,,,,,,
5/10/2024,520.84,512.6796,470.7564,0,,,,,,,,,,,,
5/13/2024,520.91,512.8408,471.0985,0,,,,,,,,,,,,
5/14/2024,523.3,513.0608,471.4304,0,,,,,,,,,,,,
5/15/2024,529.78,513.5128,471.79035,0,,,,,,,,,,,,
5/16/2024,528.69,513.8916,472.1514,0,,,,,,,,,,,,
5/17/2024,529.45,514.1844,472.548,0,,,,,,,,,,,,
5/20/2024,530.06,514.5512,472.9541,0,,,,,,,,,,,,
5/21/2024,531.36,514.9528,473.37685,0,,,,,,,,,,,,
5/22/2024,529.83,515.2138,473.77245,0,,,,,,,,,,,,
5/23/2024,525.96,515.4136,474.1585,0,,,,,,,,,,,,
5/24/2024,529.44,515.7034,474.57695,0,,,,,,,,,,,,
5/28/2024,529.81,516.103,474.99645,0,,,,,,,,,,,,
5/29/2024,526.1,516.3678,475.3987,0,,,,,,,,,,,,
5/30/2024,522.61,516.5058,475.7712,0,,,,,,,,,,,,
5/31/2024,527.37,516.6436,476.1936,0,,,,,,,,,,,,
6/3/2024,527.8,516.7556,476.6344,0,,,,,,,,,,,,
6/4/2024,528.39,516.8992,477.0949,0,,,,,,,,,,,,
6/5/2024,534.67,517.1972,477.58575,0,,,,,,,,,,,,
6/6/2024,534.66,517.5142,478.06235,0,,,,,,,,,,,,
6/7/2024,534.01,517.731,478.54165,0,,,,,,,,,,,,
6/10/2024,535.66,517.9828,479.0048,0,,,,,,,,,,,,
6/11/2024,536.95,518.2786,479.5051,0,,,,,,,,,,,,
6/12/2024,541.36,518.729,480.01205,0,,,,,,,,,,,,
6/13/2024,542.45,519.1898,480.5105,0,,,,,,,,,,,,
6/14/2024,542.78,519.784,480.9786,0,,,,,,,,,,,,
6/17/2024,547.1,520.3574,481.45905,0,,,,,,,,,,,,
6/18/2024,548.49,520.9528,481.94975,0,,,,,,,,,,,,
6/20/2024,547,521.5064,482.4288,0,,,,,,,,,,,,
6/21/2024,544.51,522.1142,482.90515,0,,,,,,,,,,,,
6/24/2024,542.74,522.609,483.38775,0,,,,,,,,,,,,
6/25/2024,544.83,523.2886,483.88765,0,,,,,,,,,,,,
6/26/2024,545.51,524.1098,484.3876,0,,,,,,,,,,,,
6/27/2024,546.37,524.9666,484.8772,0,,,,,,,,,,,,
6/28/2024,544.22,525.84,485.36835,0,,,,,,,,,,,,
7/1/2024,545.34,526.7564,485.8625,0,,,,,,,,,,,,
7/2/2024,549.01,527.8334,486.35575,0,,,,,,,,,,,,
7/3/2024,551.46,528.8682,486.8962,0,,,,,,,,,,,,
7/5/2024,554.64,529.848,487.45125,0,,,,,,,,,,,,
7/8/2024,555.28,530.8454,488.0141,0,,,,,,,,,,,,
7/9/2024,555.82,531.892,488.6,0,,,,,,,,,,,,
7/10/2024,561.32,532.9532,489.24965,0,,,,,,,,,,,,
7/11/2024,556.48,533.8816,489.87995,0,,,,,,,,,,,,
7/12/2024,559.99,535.0418,490.51875,0,,,,,,,,,,,,
7/15/2024,561.53,536.2654,491.197,0,,,,,,,,,,,,
7/16/2024,564.86,537.462,491.89105,0,,,,,,,,,,,,
7/17/2024,556.94,538.375,492.53315,0,,,,,,,,,,,,
7/18/2024,552.66,539.0968,493.15905,0,,,,,,,,,,,,
7/19/2024,548.99,539.7338,493.76745,0,,,,,,,,,,,,
7/22/2024,554.65,540.483,494.43275,0,,,,,,,,,,,,
7/23/2024,553.78,541.1552,495.07835,0,,,,,,,,,,,,
7/24/2024,541.23,541.563,495.662,0,,,,,,,,,,,,
7/25/2024,538.41,541.913,496.20635,0,,,,,,,,,,,,
7/26/2024,544.44,542.3358,496.7671,0,,,,,,,,,,,,
7/29/2024,544.76,542.6354,497.3182,0,,,,,,,,,,,,
7/30/2024,542,542.9016,497.8466,0,,,,,,,,,,,,
7/31/2024,550.81,543.3288,498.43235,0,,,,,,,,,,,,
8/1/2024,543.01,543.5878,498.9899,0,,,,,,,,,,,,
8/2/2024,532.9,543.6186,499.4742,0,,,,,,,,,,,,
8/5/2024,517.38,543.3696,499.881,0,,,,,,,,,,,,
8/6/2024,522.15,543.2934,500.3407,0,,,,,,,,,,,,
8/7/2024,518.66,543.0778,500.80185,0,,,,,,,,,,,,
8/8/2024,530.65,543.0946,501.34915,0,,,,,,,,,,,,
8/9/2024,532.99,543.2324,501.9118,0,,,,,,,,,,,,
8/12/2024,533.27,543.4456,502.46,0,,,,,,,,,,,,
8/13/2024,542.04,543.739,503.08245,0,,,,,,,,,,,,
8/14/2024,543.75,544.058,503.73845,0,,,,,,,,,,,,
8/15/2024,553.07,544.5516,504.4504,0,,,,,,,,,,,,
8/16/2024,554.31,544.9444,505.144,0,,,,,,,,,,,,
8/19/2024,559.61,545.4434,505.85105,0,,,,,,,,,,,,
8/20/2024,558.7,545.9372,506.53125,0,,,,,,,,,,,,
8/21/2024,560.62,546.4364,507.18055,0,,,,,,,,,,,,
8/22/2024,556.22,546.8218,507.7882,0,,,,,,,,,,,,
8/23/2024,562.13,547.2372,508.4204,0,,,,,,,,,,,,
8/26/2024,560.79,547.604,509.0397,0,,,,,,,,,,,,
8/27/2024,561.56,547.9796,509.66125,0,,,,,,,,,,,,
8/28/2024,558.3,548.2036,510.28355,0,,,,,,,,,,,,
8/29/2024,558.35,548.4008,510.87225,0,,,,,,,,,,,,
8/30/2024,563.68,548.7344,511.4897,0,,,,,,,,,,,,
9/3/2024,552.08,548.8858,512.00645,0,,,,,,,,,,,,
9/4/2024,550.95,549.05,512.5128,0,,,,,,,,,,,,
9/5/2024,549.61,549.1456,513.0097,0,,,,,,,,,,,,
9/6/2024,540.36,549.0426,513.45755,0,,,,,,,,,,,,
9/9/2024,546.41,549.0434,513.9183,0,,,,,,,,,,,,
9/10/2024,548.79,549.1348,514.3959,0,,,,,,,,,,,,
9/11/2024,554.42,549.3164,514.8929,0,,,,,,,,,,,,
9/12/2024,559.09,549.518,515.41185,0,,,,,,,,,,,,
