Date,Close
9/4/2024,550.95
9/5/2024,549.61
9/6/2024,540.36
9/9/2024,546.41
9/10/2024,548.79
9/11/2024,554.42
9/12/2024,559.09
9/13/2024,562.01
9/16/2024,562.84
9/17/2024,563.07
9/18/2024,561.4
9/19/2024,570.98
9/20/2024,568.25
9/23/2024,569.67
9/24/2024,571.3
9/25/2024,570.04
9/26/2024,572.3
9/27/2024,571.47
9/30/2024,573.76
10/1/2024,568.62
10/2/2024,568.86
10/3/2024,567.82
10/4/2024,572.98
10/7/2024,567.8
10/8/2024,573.17
10/9/2024,577.14
10/10/2024,576.13
10/11/2024,579.58
10/14/2024,584.32
10/15/2024,579.78
10/16/2024,582.3
10/17/2024,582.35
10/18/2024,584.59
10/21/2024,583.63
10/22/2024,583.32
10/23/2024,577.99
10/24/2024,579.24
10/25/2024,579.04
10/28/2024,580.83
10/29/2024,581.77
10/30/2024,580.01
10/31/2024,568.64
11/1/2024,571.04
11/4/2024,569.81
11/5/2024,576.7
11/6/2024,591.04
11/7/2024,595.61
11/8/2024,598.19
11/11/2024,598.76
11/12/2024,596.9
11/13/2024,597.19
11/14/2024,593.35
11/15/2024,585.75
11/18/2024,588.15
11/19/2024,590.3
11/20/2024,590.5
11/21/2024,593.67
11/22/2024,595.51
11/25/2024,597.53
11/26/2024,600.65
11/27/2024,598.83
11/29/2024,602.55
12/2/2024,603.63
12/3/2024,603.91
12/4/2024,607.66
12/5/2024,606.66
12/6/2024,607.81
12/9/2024,604.68
12/10/2024,602.8
12/11/2024,607.46
12/12/2024,604.33
12/13/2024,604.21
12/16/2024,606.79
12/17/2024,604.29
12/18/2024,586.28
12/19/2024,586.1
12/20/2024,591.15
12/23/2024,594.69
12/24/2024,601.3
12/26/2024,601.34
12/27/2024,595.01
12/30/2024,588.22
12/31/2024,586.08
1/2/2025,584.64
1/3/2025,591.95
1/6/2025,595.36
1/7/2025,588.63
1/8/2025,589.49
1/10/2025,580.49
1/13/2025,581.39
1/14/2025,582.19
1/15/2025,592.78
1/16/2025,591.64
1/17/2025,597.58
1/21/2025,603.05
1/22/2025,606.44
1/23/2025,609.75
1/24/2025,607.97
1/27/2025,599.37
1/28/2025,604.52
1/29/2025,601.81
1/30/2025,605.04
1/31/2025,601.82
2/3/2025,597.77
2/4/2025,601.78
2/5/2025,604.22
2/6/2025,606.32
2/7/2025,600.77
2/10/2025,604.85
2/11/2025,605.31
2/12/2025,603.36
2/13/2025,609.73
2/14/2025,609.7
2/18/2025,611.49
2/19/2025,612.93
2/20/2025,610.38
2/21/2025,599.94
2/24/2025,597.21
2/25/2025,594.24
2/26/2025,594.54
2/27/2025,585.05
2/28/2025,594.18
3/3/2025,583.77
3/4/2025,576.86
3/5/2025,583.06
3/6/2025,572.71
3/7/2025,575.92
3/10/2025,560.58
3/11/2025,555.92
3/12/2025,558.87
3/13/2025,551.42
3/14/2025,562.81
3/17/2025,567.15
3/18/2025,561.02
3/19/2025,567.13
3/20/2025,565.49
3/21/2025,563.98
3/24/2025,574.08
3/25/2025,575.46
3/26/2025,568.59
3/27/2025,567.08
3/28/2025,555.66
3/31/2025,559.39
4/1/2025,560.97
4/2/2025,564.52
4/3/2025,536.7
4/4/2025,505.28
4/7/2025,504.38
4/8/2025,496.48
4/9/2025,548.62
4/10/2025,524.58
4/11/2025,533.94
4/14/2025,539.12
4/15/2025,537.61
4/16/2025,525.66
4/17/2025,526.41
4/21/2025,513.88
4/22/2025,527.25
4/23/2025,535.42
4/24/2025,546.69
4/25/2025,550.64
4/28/2025,550.85
4/29/2025,554.32
4/30/2025,554.54
5/1/2025,558.47
5/2/2025,566.76
5/5/2025,563.51
5/6/2025,558.8
5/7/2025,561.15
5/8/2025,565.06
5/9/2025,564.34
5/12/2025,582.99
5/13/2025,586.84
5/14/2025,587.59
5/15/2025,590.46
5/16/2025,594.2
5/19/2025,594.85
5/20/2025,592.85
5/21/2025,582.86
5/22/2025,583.09
5/23/2025,579.11
5/27/2025,591.15
5/28/2025,587.73
5/29/2025,590.05
5/30/2025,589.39
6/2/2025,592.71
6/3/2025,596.09
6/4/2025,595.93
6/5/2025,593.05
6/6/2025,599.14
6/9/2025,599.68
6/10/2025,603.08
6/11/2025,601.36
6/12/2025,603.75
6/13/2025,597
6/16/2025,602.68
6/17/2025,597.53
6/18/2025,597.44
6/20/2025,594.28
6/23/2025,600.15
6/24/2025,606.78
6/25/2025,607.12
6/26/2025,611.87
6/27/2025,614.91
6/30/2025,617.85
7/1/2025,617.65
7/2/2025,620.45
7/3/2025,625.34
7/7/2025,620.68
7/8/2025,620.34
7/9/2025,624.06
7/10/2025,625.82
7/11/2025,623.62
7/14/2025,624.81
7/15/2025,622.14
7/16/2025,624.22
7/17/2025,628.04
7/18/2025,627.58
7/21/2025,628.77
7/22/2025,628.86
7/23/2025,634.21
7/24/2025,634.42
7/25/2025,637.1
7/28/2025,636.94
7/29/2025,635.26
7/30/2025,634.46
7/31/2025,632.08
8/1/2025,621.72
8/4/2025,631.17
8/5/2025,627.97
8/6/2025,632.78
8/7/2025,632.25
8/8/2025,637.18
8/11/2025,635.92
8/12/2025,642.69
8/13/2025,644.89
8/14/2025,644.95
8/15/2025,643.44
8/18/2025,643.3
8/19/2025,639.81
8/20/2025,638.11
8/21/2025,635.55
8/22/2025,645.31
8/25/2025,642.47
8/26/2025,645.16
8/27/2025,646.63
8/28/2025,648.92
8/29/2025,645.05
9/2/2025,640.27
9/3/2025,643.74
9/4/2025,649.12
9/5/2025,647.24
9/8/2025,648.83
9/9/2025,650.33
9/10/2025,652.21
9/11/2025,657.63
9/12/2025,657.41
9/15/2025,660.91
9/16/2025,660
9/17/2025,659.18
9/18/2025,662.26
9/19/2025,663.7
9/22/2025,666.84
9/23/2025,663.21
9/24/2025,661.1
9/25/2025,658.05
9/26/2025,661.82
9/29/2025,663.68
9/30/2025,666.18
10/1/2025,668.45
10/2/2025,669.22
10/3/2025,669.21
10/6/2025,671.61
10/7/2025,669.12
10/8/2025,673.11
10/9/2025,671.16
10/10/2025,653.02
10/13/2025,663.04
10/14/2025,662.23
10/15/2025,665.17
10/16/2025,660.64
10/17/2025,664.39
10/20/2025,671.3
10/21/2025,671.29
10/22/2025,667.8
10/23/2025,671.76
10/24/2025,677.25
10/27/2025,685.24
10/28/2025,687.06
10/29/2025,687.39
10/30/2025,679.83
10/31/2025,682.06
